Name, x-coordinate, y-coordinate, low_price, high_price
Potbelly,40.110133710042845,-88.23187566441752,2.09,129.80
Subway,40.11051185550393,-88.22965368824453,2.49,18.81
McDonalds,40.11051048233832,-88.22983822444178,2.20,26.85
Jimmy Johns,40.11019910581937,-88.23018634277662,4.76,22.76
Pizza Hut,40.12363776553244,-88.27695550912003,4.79,38
Panera Bread,40.13863641596767,-88.2431732092141,1.69,92.69
Dominos,40.1104849943304,-88.23991971877284,5.24,15.24
Houlihan's,40.09442351098691,-88.23779639163115,4.95,34.95
